MeterID,MeterGeoLocation,Timestamp,MeterUp,MeterDown,MeterMake,MeterModel,Latitude,Longitude
MTR036,"Sector 6, Dallas",2024-11-18 11:03:00,1805,724,MakeA,ModelX,32.76955678571428,-96.79293901770068
MTR062,"Sector 11, Dallas",2024-11-14 03:10:00,1313,528,MakeA,ModelY,32.7544948190534,-96.78622878479618
MTR046,"Sector 13, Dallas",2024-11-09 08:35:00,1115,773,MakeB,ModelY,32.76255160129946,-96.79457433242602
MTR083,"Sector 16, Dallas",2024-11-03 21:10:00,1386,652,MakeA,ModelX,32.76717600384239,-96.79445655260545
MTR078,"Sector 19, Dallas",2024-11-17 05:56:00,1636,611,MakeC,ModelX,32.7977600371704,-96.74873668727035
MTR002,"Sector 5, Dallas",2024-11-02 04:54:00,1578,577,MakeB,ModelY,32.822846043608756,-96.8287458106987
MTR068,"Sector 9, Dallas",2024-11-25 05:03:00,1501,674,MakeA,ModelY,32.75550329423521,-96.82004932270476
MTR034,"Sector 7, Dallas",2024-11-11 09:16:00,1687,706,MakeA,ModelY,32.791687680929556,-96.82405165004857
MTR005,"Sector 11, Dallas",2024-11-29 07:07:00,1703,685,MakeC,ModelX,32.746970832904225,-96.74759649721031
MTR072,"Sector 11, Dallas",2024-11-07 23:39:00,1484,796,MakeA,ModelY,32.80764941305467,-96.76213990328677
MTR065,"Sector 3, Dallas",2024-11-19 10:30:00,1668,532,MakeC,ModelY,32.75501240215642,-96.80499569379273
MTR096,"Sector 4, Dallas",2024-11-29 14:12:00,1669,639,MakeB,ModelY,32.814699327652235,-96.77282334902273
MTR043,"Sector 14, Dallas",2024-11-08 21:07:00,1105,532,MakeA,ModelZ,32.72733199974994,-96.79797438240821
MTR007,"Sector 16, Dallas",2024-11-14 05:23:00,1812,625,MakeA,ModelZ,32.80674558091545,-96.81311221893917
MTR029,"Sector 14, Dallas",2024-11-15 23:48:00,1447,719,MakeB,ModelX,32.80049609119208,-96.75889699169657
MTR099,"Sector 14, Dallas",2024-11-14 22:06:00,1891,647,MakeC,ModelZ,32.80693511251546,-96.83435544894776
MTR086,"Sector 1, Dallas",2024-11-24 05:07:00,1255,773,MakeA,ModelX,32.77701132773987,-96.83938579788112
MTR097,"Sector 14, Dallas",2024-11-14 10:02:00,1547,717,MakeC,ModelX,32.78277163194778,-96.81269127280997
MTR046,"Sector 16, Dallas",2024-11-09 21:36:00,1156,629,MakeA,ModelZ,32.79530299551434,-96.76148063975545
MTR087,"Sector 6, Dallas",2024-11-11 12:13:00,1547,648,MakeA,ModelZ,32.74214753103227,-96.76007561767742
MTR071,"Sector 5, Dallas",2024-11-14 15:42:00,1719,549,MakeC,ModelY,32.7400624966885,-96.79868996513325
MTR020,"Sector 19, Dallas",2024-11-26 07:06:00,1643,776,MakeB,ModelY,32.82308361861167,-96.76490981627224
MTR078,"Sector 9, Dallas",2024-11-20 19:15:00,1515,591,MakeA,ModelY,32.798563719748515,-96.8417844181888
MTR020,"Sector 4, Dallas",2024-11-22 08:24:00,1764,532,MakeA,ModelY,32.757594813577626,-96.781481067764
MTR018,"Sector 2, Dallas",2024-11-07 21:45:00,1552,789,MakeB,ModelX,32.76465652044349,-96.84458180299929
MTR020,"Sector 17, Dallas",2024-11-26 03:48:00,1398,566,MakeA,ModelX,32.80476807817181,-96.80403573699766
MTR039,"Sector 11, Dallas",2024-11-30 02:33:00,1380,794,MakeB,ModelY,32.81959081674944,-96.7476572877854
